a00;colera
b779;ascaridiase nao especificada
b78;estrongiloidiase
b780;estrongiloidiase intestinal
b781;estrongiloidiase cutanea
b787;estrongiloidiase disseminada
b789;estrongiloidiase nao especificada
b79;tricuriase
b80;oxiuriase
b81;outras helmintiases intestinais nao classificadas outra parte
b810;anisaquiase
b811;capilariase intestinal
b812;tricostrongilose
b813;angiostrongiliase intestinal
b814;helmintiases intestinais mistas
b818;outras helmintiases intestinais especificadas
b82;parasitose intestinal nao especificada
b820;helmintiase intestinal nao especificada
b829;parasitose intestinal nao especificada
b83;outras helmintiases
b830;larva migrans visceral
b831;gnatostomiase
b832;angrostrongiliase devida parastrongylus cantonensis
b833;singamose
b834;hirudiniase interna
b838;outras helmintiases especificadas
b839;helmintiase nao especificada
b85;pediculose ftiriase
b850;pediculose devida pediculus humanus capitis
b851;pediculose devida pediculus humanus corporis
b852;pediculose nao especificada
b853;ftiriase
b854;pediculose ftiriase mista
b86;escabiose sarna
b87;miiase
b870;miiase cutanea
b871;miiase feridas
b872;miiase ocular
b873;miiase nasofaringea
b874;miiase auricular
b878;miiase outras localizacoes
b879;miiase nao especificada
b88;outras infestacoes
b880;outras acariases
b881;tungiase infestacao pela pulga areia
b882;outras infestacoes artropodos
b883;hirudiniase externa
b888;outras infestacoes especificadas
b889;infestacao nao especificada
b89;doenca parasitaria nao especificada
b90;sequelas tuberculose
b900;sequelas tuberculose sistema nervoso central
b901;sequelas tuberculose geniturinaria
b902;sequelas tuberculose ossea articulacoes
b908;sequelas tuberculose outros orgaos
b909;sequelas tuberculose vias respiratorias orgaos nao especificados
b91;sequelas poliomielite
b92;sequelas hanseniase lepra
b94;sequelas outras doencas infecciosas parasitarias nao especificadas
b940;sequelas tracoma
b941;sequelas encefalite viral
b942;sequelas hepatite viral
b948;sequelas outras doencas infecciosas parasitarias especificadas
b949;sequelas doenca infecciosa parasitaria nao especificada
b95;estreptococos estafilococos como causa doencas classificadas outros capitulos
b950;estreptococo grupo como causa doencas classificadas outros capitulos
b951;estreptococo grupo b como causa doencas classificadas outros capitulos
b952;estreptococo grupo d como causa doencas classificadas outros capitulos
b953;streptococcus pneumoniae como causa doencas classificadas outros capitulos
b954;outros estreptococos como causa doencas classificadas outros capitulos
b955;estreptococo nao especificado como causa doencas classificadas outros capitulos
b956;staphylococcus aureus como causa doencas classificadas outros capitulos
b957;outros estafilococos como causa doencas classificadas outros capitulos
b958;estafilococo nao especificado como causa doencas classificadas outros capitulos
b96;outros agentes bacterianos como causa doencas classificadas outros capitulos
b960;mycoplasma pneumoniae m. pneumoniae como causa doencas classificadas outros capitulos
b961;klebsiella pneumoniae m. pneumoniae como causa doencas classificadas outros capitulos
b962;escherichia coli e. coli como causa doencas classificadas outros capitulos
b963;haemophilus influenzae h. influenzae como causa doencas classificadas outros capitulos
b964;proteus mirabilis morganii como causa doencas classificadas outros capitulos
b965;pseudomonas aeruginosa mallei pseudomallei como causa doencas classificadas outros capitulos
b966;bacillus fragilis b. fragilis como causa doencas classificadas outros capitulos
b967;clostridium perfringens c. perfringens como causa doencas classificadas outros capitulos
b968;outros agentes bacterianos especificados como causa doencas classificadas outros capitulos
b97;virus como causa doencas classificadas outros capitulos
b970;adenovirus como causa doencas classificadas outros capitulos
b971;enterovirus como causa doencas classificadas outros capitulos
b972;coronavirus como causa doencas classificadas outros capitulos
b973;retrovirus como causa doencas classificadas outros capitulos
b974;virus sincicial respiratorio como causa doencas classificadas outros capitulos
b975;reovirus como causa doencas classificadas outros capitulos
b976;parvovirus como causa doencas classificadas outros capitulos
b977;papilomavirus como causa doencas classificadas outros capitulos
b978;outros agentes virais como causa doencas classificadas outros capitulos
b99;doencas infecciosas outras nao especificadas
c00;neoplasia maligna labio
c000;neoplasia maligna labio superior externo
c001;neoplasia maligna labio inferior externo
c002;neoplasia maligna labio externo nao especificado
c003;neoplasia maligna labio superior face interna
c004;neoplasia maligna labio inferior face interna
c005;neoplasia maligna labio sem especificacao face interna
c006;neoplasia maligna comissura labial
c008;neoplasia maligna labio lesao invasiva
c009;neoplasia maligna labio nao especificado
c01;neoplasia maligna base lingua
c02;neoplasia maligna outras partes partes nao especificadas lingua
c020;neoplasia maligna face dorsal lingua
c021;neoplasia maligna borda lingua
c022;neoplasia maligna face ventral lingua
c023;neoplasia maligna dois tercos anteriores lingua parte nao especificada
c024;neoplasia maligna amigdala lingual
c028;neoplasia maligna lingua lesao invasiva
c029;neoplasia maligna lingua nao especificada
c03;neoplasia maligna gengiva
c030;neoplasia maligna gengiva superior
c031;neoplasia maligna gengiva inferior
c039;neoplasia maligna gengiva nao especificada
c04;neoplasia maligna assoalho boca
c040;neoplasia maligna assoalho anterior boca
c041;neoplasia maligna assoalho lateral boca
c048;neoplasia maligna assoalho boca lesao invasiva
c049;neoplasia maligna assoalho boca nao especificado
c05;neoplasia maligna palato
c050;neoplasia maligna palato duro
c051;neoplasia maligna palato mole
c052;neoplasia maligna uvula
c058;neoplasia maligna palato lesao invasiva
c059;neoplasia maligna palato nao especificado
c06;neoplasia maligna outras partes partes nao especificadas boca
c060;neoplasia maligna mucosa oral
c061;neoplasia maligna vestibulo boca
c062;neoplasia maligna area retromolar
c068;neoplasia maligna outras partes partes nao especificadas boca lesao invasiva
c069;neoplasia maligna boca nao especificada
c07;neoplasia maligna glandula parotida
c08;neoplasia maligna outras glandulas salivares maiores nao especificadas
c080;neoplasia maligna glandula submandibular
c081;neoplasia maligna glandula sublingual
c088;neoplasia maligna glandulas salivares maiores lesao invasiva
c089;neoplasia maligna glandula salivar maior nao especificada
c09;neoplasia maligna amigdala
c090;neoplasia maligna fossa amigdaliana
c091;neoplasia maligna pilar amigdaliano anterior posterior
c098;neoplasia maligna amigdala lesao invasiva
c099;neoplasia maligna amigdala nao especificada
c10;neoplasia maligna orofaringe
c100;neoplasia maligna valecula
c101;neoplasia maligna face anterior epiglote
c102;neoplasia maligna parede lateral orofaringe
c103;neoplasia maligna parede posterior orofaringe
c104;neoplasia maligna fenda branquial
c108;neoplasia maligna orofaringe lesao invasiva
c109;neoplasia maligna orofaringe nao especificada
c11;neoplasia maligna nasofaringe
c110;neoplasia maligna parede superior nasofaringe
c111;neoplasia maligna parede posterior nasofaringe
c112;neoplasia maligna parede lateral nasofaringe
c113;neoplasia maligna parede anterior nasofaringe
c118;neoplasia maligna nasofaringe lesao invasiva
c119;neoplasia maligna nasofaringe nao especificada
c12;neoplasia maligna seio piriforme
c13;neoplasia maligna hipofaringe
c130;neoplasia maligna regiao pos cricoidea
c131;neoplasia maligna prega ariepiglotica face hipofaringea
c132;neoplasia maligna parede posterior hipofaringe
c138;neoplasia maligna hipofaringe lesao invasiva
c139;neoplasia maligna hipofaringe nao especificada
c14;neoplasia maligna outras localizacoes localizacoes mal definida labio cavidade oral faringe
c140;neoplasia maligna faringe nao especificada
c142;neoplasia maligna anel waldeyer
c148;neoplasia maligna labio cavidade oral faringe lesao invasiva
c15;neoplasia maligna esofago
c150;neoplasia maligna porcao cervical esofago esofago cervical
c151;neoplasia maligna porcao toracica esofago esofago toracico
c152;neoplasia maligna porcao abdominal esofago esofago abdominal
c153;neoplasia maligna terco superior esofago
c154;neoplasia maligna terco medio esofago
c155;neoplasia maligna terco inferior esofago
c158;neoplasia maligna esofago lesao invasiva
c159;neoplasia maligna esofago nao especificado
c16;neoplasia maligna estomago
c160;neoplasia maligna cardia
c161;neoplasia maligna fundo estomago
c162;neoplasia maligna corpo estomago
c163;neoplasia maligna antro pilorico
c164;neoplasia maligna piloro
c165;neoplasia maligna pequena curvatura estomago nao especificada
c166;neoplasia maligna grande curvatura estomago nao especificada
c168;neoplasia maligna estomago lesao invasiva
c169;neoplasia maligna estomago nao especificado
c17;neoplasia maligna intestino delgado
c170;neoplasia maligna duodeno
c171;neoplasia maligna jejuno
c172;neoplasia maligna ileo
c173;neoplasia maligna diverticulo meckel
c178;neoplasia maligna intestino delgado lesao invasiva
c179;neoplasia maligna intestino delgado nao especificado
c18;neoplasia maligna colon
c180;neoplasia maligna ceco
c181;neoplasia maligna apendice vermiforme
c182;neoplasia maligna colon ascendente
c183;neoplasia maligna flexura angulo hepatica
c184;neoplasia maligna colon transverso
c185;neoplasia maligna flexura angulo esplenica
c186;neoplasia maligna colon descendente
c187;neoplasia maligna colon sigmoide
c188;neoplasia maligna colon lesao invasiva
c189;neoplasia maligna colon nao especificado
c19;neoplasia maligna juncao retossigmoide
c20;neoplasia maligna reto
c21;neoplasia maligna anus canal anal
c210;neoplasia maligna anus nao especificado
c211;neoplasia maligna canal anal
c212;neoplasia maligna zona cloacogenica
c218;neoplasia maligna reto anus canal anal lesao invasiva
c22;neoplasia maligna figado vias biliares intra hepaticas
c220;carcinoma celulas hepaticas
c221;carcinoma vias biliares intra hepaticas
c222;hepatoblastoma
c223;angiossarcoma figado
c224;outros sarcomas figado
c227;outros carcinomas especificados figado
c229;neoplasia maligna figado nao especificada
c23;neoplasia maligna vesicula biliar
c24;neoplasia maligna outras partes partes nao especificadas vias biliares
c240;neoplasia maligna vias biliares extra hepaticas
c241;neoplasia maligna ampola vater
c248;neoplasia maligna vias biliares lesao invasiva
c249;neoplasia maligna via biliar nao especificada
c25;neoplasia maligna pancreas
c250;neoplasia maligna cabeca pancreas
c251;neoplasia maligna corpo pancreas
c252;neoplasia maligna cauda pancreas
c253;neoplasia maligna canal pancreatico
c254;neoplasia maligna pancreas endocrino
c257;neoplasia maligna outras partes pancreas
c258;neoplasia maligna pancreas lesao invasiva
c259;neoplasia maligna pancreas nao especificado
c26;neoplasia maligna outros orgaos digestivos localizacoes mal definidas aparelho digestivo
c260;neoplasia maligna trato intestinal parte nao especificada
c261;neoplasia maligna baco
c268;neoplasia maligna aparelho digestivo lesao invasiva
c269;neoplasia maligna localizacoes mal definidas dentro aparelho digestivo
c30;neoplasia maligna cavidade nasal ouvido medio
c300;neoplasia maligna cavidade nasal
c301;neoplasia maligna ouvido medio
c31;neoplasia maligna seios face
c310;neoplasia maligna seio maxilar
c311;neoplasia maligna seio etmoidal
c312;neoplasia maligna seio frontal
c313;neoplasia maligna seio esfenoidal
c318;neoplasia maligna seios face lesao invasiva
c319;neoplasia maligna seio face nao especificado
c32;neoplasia maligna laringe
c320;neoplasia maligna glote
c321;neoplasia maligna regiao supraglotica
c322;neoplasia maligna regiao subglotica
c323;neoplasia maligna cartilagens laringe
c328;neoplasia maligna laringe lesao invasiva
c329;neoplasia maligna laringe nao especificada
c33;neoplasia maligna traqueia
c34;neoplasia maligna bronquios pulmoes
c340;neoplasia maligna bronquio principal
c341;neoplasia maligna lobo superior bronquio pulmao
c342;neoplasia maligna lobo medio bronquio pulmao
c343;neoplasia maligna lobo inferior bronquio pulmao
c348;neoplasia maligna bronquios pulmoes lesao invasiva
c349;neoplasia maligna bronquios pulmoes nao especificado
c37;neoplasia maligna timo
c38;neoplasia maligna coracao mediastino pleura
c380;neoplasia maligna coracao
c381;neoplasia maligna mediastino anterior
c382;neoplasia maligna mediastino posterior
c383;neoplasia maligna mediastino porcao nao especificada
c384;neoplasia maligna pleura
c388;neoplasia maligna coracao mediastino pleura lesao invasiva
c39;neoplasia maligna outras localizacoes localizacoes mal definidas aparelho respiratorio orgaos intratoracicos
c390;neoplasia maligna trato respiratorio superior porcao nao especificada
c398;neoplasia maligna aparelho respiratorio orgaos intratoracicos lesao invasiva
c399;neoplasia maligna localizacoes mal definidas aparelho respiratorio
c40;neoplasia maligna ossos cartilagens articulares membros
c400;neoplasia maligna omoplata escapula ossos longos membros superiores
c401;neoplasia maligna ossos curtos membros superiores
c402;neoplasia maligna ossos longos membros inferiores
c403;neoplasia maligna ossos curtos membros inferiores
c408;neoplasia maligna ossos cartilagens articulares membros lesao invasiva
